２　国籍・地域別　港別　入国外国人,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウクライナ,"7,351 ",0 ,1 ,0 ,0 ,0 ,0 ,29 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,797 ",0 ,0 ,"2,218 ",0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,0 ,0 ,0 ,0 ,0 ,1 ,908,   0 ,   0 ,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,10,199,0,0,0,1,21,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,28,0,0,0
ウズベキスタン,"8,624 ",0 ,0 ,0 ,0 ,0 ,0 ,70 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,1 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,554 ",0 ,0 ,494 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,430 ,0 ,0 ,0 ,0 ,0 ,1 ,724,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,309,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
英国,"330,861 ",0 ,172 ,131 ,0 ,0 ,0 ,"5,952 ",0 ,397 ,11 ,126 ,0 ,76 ,0 ,0 ,1 ,39 ,0 ,0 ,131 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"90,691 ",1 ,77 ,"166,465 ",0 ,6 ,0 ,0 ,0 ,215 ,0 ,2 ,5 ,4 ,0 ,959 ,8 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,"4,149 ",23 ,1 ,0 ,0 ,0 ,181 ,"40,221",   1 ,   3 ,447,0,0,0,1,0,30,229,0,20,0,0,0,0,0,50,85,0,1,26,26,0,1,0,0,0,403,0,26,21,0,88,0,187,0,9,745,"8,331",8,6,0,116,"3,528",3,43,0,128,42,0,2,0,0,0,3,"1,208",158,0,0,0,"1,126",0,3,1,2,0,39,"3,493",163,0,0
英国〔香港〕,"66,904 ",1 ,2 ,2 ,0 ,0 ,0 ,"2,469 ",0 ,4 ,40 ,1 ,0 ,14 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"20,626 ",0 ,0 ,"13,209 ",0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,0 ,0 ,1 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,"2,885 ",0 ,0 ,0 ,0 ,0 ,3 ,"16,411",   0 ,   0 ,8,0,0,0,0,0,32,1,0,6,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,479,0,0,1,0,1,0,1,0,2,54,"7,269",0,0,0,2,44,0,2,0,176,1,0,0,0,0,0,1,31,346,0,0,0,1,0,0,0,0,0,2,"2,721",6,0,0
エストニア,"3,546 ",0 ,0 ,2 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,201 ",0 ,0 ,"1,867 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,1 ,358,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,19,0,0,0
オーストリア,"26,587 ",1 ,2 ,18 ,0 ,0 ,0 ,170 ,0 ,5 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,14 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,115 ",0 ,0 ,"8,945 ",0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,37 ,19 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,187 ,0 ,0 ,0 ,0 ,0 ,39 ,"3,020",   0 ,   0 ,19,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,4,0,1,124,452,7,0,0,11,53,0,4,0,1,0,0,1,0,0,0,0,10,2,0,0,0,11,0,0,1,0,0,22,213,16,0,0
オランダ,"75,242 ",0 ,64 ,24 ,0 ,0 ,0 ,554 ,0 ,7 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,15 ,0 ,0 ,21 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"39,327 ",0 ,4 ,"19,015 ",0 ,0 ,0 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,26 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,461 ,0 ,0 ,0 ,0 ,0 ,38 ,"12,064",   0 ,   0 ,66,0,0,0,0,0,8,46,0,7,0,0,0,0,0,2,58,0,0,0,9,0,0,2,0,0,26,0,0,5,0,2,0,2,0,5,514,"1,873",5,2,1,33,143,0,9,0,6,9,0,0,0,0,0,0,120,12,0,0,0,104,0,1,2,0,0,10,477,2,0,0
カザフスタン,"8,685 ",0 ,2 ,0 ,0 ,0 ,0 ,51 ,0 ,15 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,3 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,016 ",0 ,2 ,600 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,115 ,0 ,0 ,0 ,0 ,0 ,3 ,999,   0 ,   0 ,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,349,0,0,0,0,197,0,1,0,0,18,0,0,0,0,0,0,128,0,0,0,0,11,0,0,0,0,0,7,86,0,0,0
北マケドニア,758 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,455 ,0 ,0 ,249 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,44,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
ギリシャ,"10,140 ",0 ,0 ,3 ,0 ,0 ,0 ,23 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,351 ",0 ,0 ,"3,877 ",0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48 ,0 ,0 ,0 ,0 ,0 ,1 ,"1,389",   0 ,   0 ,11,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,11,338,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,3,39,0,0,0
キルギス,"3,034 ",0 ,3 ,0 ,0 ,0 ,0 ,39 ,0 ,8 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,10 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,773 ",0 ,0 ,327 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,0 ,0 ,0 ,0 ,0 ,489,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,86,0,0,0,0,23,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
クロアチア,"4,125 ",0 ,9 ,1 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,031 ",0 ,0 ,"1,527 ",0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,387,   1 ,   0 ,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,80,1,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0
コソボ共和国,348 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,236 ,0 ,0 ,99 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
サンマリノ,92 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,0 ,0 ,43 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,8,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジョージア,"1,270 ",0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,534 ,0 ,0 ,600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,124,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
スイス,"54,104 ",0 ,7 ,7 ,0 ,0 ,0 ,319 ,0 ,16 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,7 ,0 ,0 ,8 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"30,967 ",0 ,7 ,"14,914 ",0 ,0 ,0 ,0 ,0 ,6 ,1 ,0 ,0 ,0 ,0 ,62 ,4 ,0 ,0 ,5 ,32 ,0 ,0 ,0 ,175 ,0 ,0 ,0 ,0 ,0 ,44 ,"5,675",   0 ,   0 ,14,0,0,0,0,0,1,16,0,2,0,0,0,0,0,4,20,0,0,1,8,0,0,0,0,0,4,0,0,4,0,5,0,24,0,0,332,778,25,0,0,8,163,0,4,0,7,7,0,3,0,0,0,2,53,1,0,0,0,18,0,0,0,0,0,21,305,12,0,0
スウェーデン,"40,117 ",1 ,9 ,3 ,0 ,0 ,0 ,186 ,0 ,8 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,349 ",0 ,0 ,"21,140 ",0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,0 ,0 ,15 ,6 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,104 ,0 ,0 ,1 ,0 ,0 ,7 ,"4,197",   0 ,   0 ,6,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,17,0,0,0,10,0,0,0,0,0,3,0,0,3,0,0,0,7,0,3,288,421,0,1,0,0,29,0,6,0,2,2,0,0,0,0,0,0,17,2,0,0,0,14,0,0,0,0,0,0,228,1,0,0
スペイン,"117,345 ",0 ,13 ,1 ,0 ,0 ,0 ,208 ,0 ,39 ,2 ,1 ,0 ,6 ,0 ,0 ,0 ,6 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"41,420 ",0 ,3 ,"52,118 ",0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,1 ,0 ,0 ,34 ,2 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,410 ,0 ,0 ,0 ,0 ,0 ,26 ,"21,079",   0 ,   0 ,35,0,0,0,0,0,1,35,0,2,0,0,0,0,0,1,26,0,0,0,41,0,0,0,0,0,8,0,0,5,0,96,0,3,1,5,174,947,0,0,1,3,159,0,6,0,3,7,0,0,0,0,0,0,39,0,0,0,0,12,0,2,4,0,0,13,318,1,0,0
スロバキア,"5,813 ",0 ,0 ,0 ,0 ,0 ,0 ,67 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,272 ",0 ,0 ,"1,441 ",0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,690,   0 ,   0 ,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,12,171,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0
スロベニア,"3,837 ",0 ,0 ,0 ,0 ,0 ,0 ,18 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,869 ",0 ,0 ,"1,471 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,7 ,279,   0 ,   0 ,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,67,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
セルビア,"4,244 ",0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,761 ",0 ,0 ,"1,072 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,325,   0 ,   0 ,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,30,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0
セルビア・モンテネグロ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タジキスタン,682 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,441 ,0 ,0 ,132 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,71,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チェコ,"14,136 ",0 ,0 ,0 ,0 ,0 ,0 ,120 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,340 ",0 ,1 ,"4,068 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,94 ,0 ,0 ,0 ,0 ,0 ,1 ,"1,898",   0 ,   0 ,7,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,1,57,306,0,0,0,0,3,0,4,0,2,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,180,1,0,0
デンマーク,"31,202 ",0 ,3 ,0 ,0 ,0 ,0 ,129 ,1 ,49 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,12 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"11,297 ",0 ,1 ,"15,496 ",0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,19 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,76 ,0 ,0 ,0 ,0 ,0 ,28 ,"3,345",   0 ,   0 ,21,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,225,270,1,0,0,2,13,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,0,1,0,0,0,2,129,0,0,0
ドイツ,"232,918 ",3 ,29 ,46 ,0 ,0 ,0 ,"1,094 ",0 ,54 ,3 ,28 ,0 ,8 ,0 ,1 ,0 ,46 ,0 ,0 ,26 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,"84,526 ",0 ,30 ,"109,636 ",0 ,0 ,0 ,0 ,0 ,37 ,0 ,0 ,56 ,5 ,0 ,108 ,78 ,0 ,0 ,17 ,473 ,0 ,0 ,0 ,"1,370 ",0 ,0 ,0 ,0 ,0 ,332 ,"25,845",   1 ,   0 ,92,0,0,0,0,0,0,73,0,11,0,0,0,0,0,10,209,0,0,0,37,0,0,0,0,0,107,0,2,11,0,17,0,16,1,16,"1,208","3,623",142,5,0,13,861,0,38,0,15,24,0,4,0,0,0,2,206,9,0,0,0,80,0,0,4,0,0,215,"1,869",143,0,0
トルクメニスタン,364 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,207 ,0 ,0 ,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,37,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ノルウェー,"21,680 ",0 ,0 ,5 ,0 ,0 ,0 ,52 ,0 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,083 ",0 ,0 ,"11,856 ",0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,1 ,0 ,0 ,0 ,0 ,9 ,"2,086",   0 ,   0 ,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,31,0,1,98,246,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,4,0,0,0,0,0,1,67,1,0,0
バチカン,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハンガリー,"11,619 ",0 ,0 ,0 ,0 ,0 ,0 ,31 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,244 ",0 ,4 ,"3,709 ",0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,92 ,0 ,0 ,0 ,0 ,0 ,3 ,"1,941",   0 ,   0 ,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,0,0,4,0,0,1,0,1,0,2,0,11,110,260,0,0,0,0,14,0,0,0,1,22,0,0,0,0,0,3,12,1,0,0,0,3,0,0,0,0,0,0,124,0,0,0
