２　国籍・地域別　港別　入国外国人,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,２　国籍・地域別　港別　入国外国人（続き）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィンランド,"21,743 ",0 ,0 ,0 ,0 ,0 ,0 ,61 ,0 ,1 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,266 ",0 ,1 ,"11,302 ",0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,84 ,1 ,0 ,0 ,0 ,0 ,16 ,"3,486",   0 ,   0 ,2,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,83,199,2,0,0,0,10,1,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,2,148,2,0,0
フランス,"284,412 ",2 ,14 ,7 ,0 ,0 ,0 ,"1,707 ",0 ,86 ,3 ,5 ,0 ,0 ,0 ,0 ,1 ,65 ,0 ,0 ,3 ,0 ,0 ,0 ,1 ,8 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,"93,849 ",0 ,5 ,"133,551 ",0 ,1 ,0 ,0 ,0 ,35 ,0 ,0 ,0 ,2 ,0 ,24 ,20 ,0 ,0 ,16 ,1 ,0 ,0 ,0 ,"1,066 ",0 ,0 ,0 ,0 ,0 ,112 ,"45,957",   0 ,   0 ,40,0,2,0,0,0,0,36,0,27,0,0,0,0,0,2,93,0,0,0,38,0,0,0,0,0,46,0,1,6,0,7,0,108,5,21,"1,291","4,208",0,1,0,1,239,3,24,0,19,16,0,0,0,0,5,0,114,5,0,0,1,37,0,0,1,0,0,10,"1,451",5,0,0
ブルガリア,"6,611 ",0 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,5 ,1 ,0 ,0 ,12 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,297 ",0 ,0 ,"2,263 ",0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,6 ,760,   0 ,   0 ,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,110,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0
ベラルーシ,"1,682 ",0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,26 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,893 ,0 ,0 ,506 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,199,   0 ,   0 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
ベルギー,"34,925 ",1 ,10 ,9 ,0 ,0 ,0 ,161 ,0 ,23 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"15,703 ",0 ,2 ,"13,251 ",0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,22 ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,169 ,0 ,0 ,0 ,0 ,0 ,20 ,"4,374",   0 ,   0 ,15,0,0,0,0,0,0,35,0,5,0,0,0,0,0,2,11,0,0,0,2,0,0,0,0,0,8,0,0,0,0,3,0,27,0,2,144,516,3,0,0,30,128,0,0,0,2,9,0,0,0,0,0,0,31,3,0,0,0,8,0,0,3,0,0,4,120,2,0,0
ポーランド,"41,350 ",0 ,4 ,21 ,0 ,0 ,0 ,114 ,0 ,12 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"26,181 ",0 ,22 ,"9,954 ",0 ,0 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,1 ,0 ,7 ,2 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,151 ,0 ,0 ,0 ,0 ,0 ,16 ,"3,473",   0 ,   0 ,13,0,0,0,0,0,0,34,0,7,0,0,0,0,0,0,23,2,0,0,11,0,0,0,0,0,9,0,0,5,0,0,0,5,0,3,349,529,0,0,0,0,20,0,3,0,0,6,0,0,0,0,0,0,13,1,0,0,0,4,0,3,0,0,0,8,304,1,0,0
ボスニア・ヘルツェゴビナ,519 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,248 ,0 ,1 ,194 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,51,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ポルトガル,"28,065 ",0 ,1 ,0 ,0 ,0 ,0 ,397 ,0 ,27 ,10 ,0 ,0 ,2 ,0 ,0 ,0 ,9 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"9,711 ",0 ,1 ,"9,318 ",0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,3 ,0 ,0 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,450 ,0 ,0 ,0 ,0 ,0 ,4 ,"6,169",   0 ,   0 ,44,0,0,0,0,0,20,1,0,1,0,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,97,0,0,0,0,4,0,3,0,0,47,"1,003",0,1,0,0,62,0,2,0,19,4,0,0,0,0,0,0,24,45,0,0,0,6,0,0,0,0,0,0,534,0,0,0
マルタ,"1,603 ",0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,564 ,0 ,0 ,739 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,1 ,216,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
モナコ,118 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,0 ,0 ,58 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,23,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モルドバ,381 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,186 ,0 ,0 ,163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,18,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
モンテネグロ,249 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,152 ,0 ,0 ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,22,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラトビア,"2,624 ",0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,022 ",0 ,0 ,"1,226 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,0 ,2 ,299,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
リトアニア,"6,343 ",0 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,421 ",0 ,0 ,"2,767 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,1 ,795,   0 ,   0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,89,128,0,2,0,0,7,0,0,0,0,0,0,3,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0
リヒテンシュタイン,228 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,138 ,0 ,0 ,61 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0
ルーマニア,"16,373 ",0 ,2 ,6 ,0 ,0 ,0 ,44 ,0 ,21 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,830 ",0 ,5 ,"5,630 ",0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,3 ,0 ,0 ,11 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,83 ,1 ,0 ,0 ,0 ,0 ,2 ,"1,889",   0 ,   0 ,32,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,45,0,0,0,0,0,5,0,0,0,0,1,0,6,0,0,131,420,0,1,0,0,63,1,2,0,0,12,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,60,2,0,0
ルクセンブルク,"2,543 ",0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,889 ,0 ,0 ,"1,264 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,2 ,263,   0 ,   0 ,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,19,24,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,12,2,0,0
ロシア,"46,107 ",1 ,213 ,0 ,0 ,0 ,0 ,508 ,0 ,93 ,0 ,0 ,60 ,2 ,0 ,0 ,0 ,15 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"22,137 ",0 ,0 ,"14,147 ",0 ,0 ,0 ,0 ,0 ,53 ,0 ,0 ,5 ,3 ,67 ,4 ,2 ,11 ,0 ,1 ,0 ,0 ,0 ,0 ,347 ,0 ,0 ,0 ,0 ,34 ,7 ,"6,658",   0 ,   0 ,79,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,9,0,0,0,5,0,0,0,0,0,6,0,0,0,0,8,0,1,0,6,128,731,0,0,0,2,141,0,6,0,3,66,0,0,0,0,0,0,153,0,0,0,0,4,0,0,3,0,0,109,233,0,0,0
アフリカ,"43,006 ",0 ,20 ,0 ,0 ,0 ,0 ,156 ,0 ,2 ,0 ,2 ,0 ,3 ,0 ,0 ,1 ,7 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"24,358 ",0 ,6 ,"10,688 ",0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,12 ,3 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,340 ,0 ,0 ,0 ,0 ,0 ,10 ,"5,815",   0 ,   0 ,17,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,3,0,0,0,0,11,0,1,0,0,33,"1,106",0,0,0,0,88,0,0,0,7,2,0,0,0,0,0,0,42,1,0,0,0,96,0,0,0,0,0,1,125,2,0,0
アルジェリア,"1,035 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,420 ,0 ,0 ,458 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,137,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
アンゴラ,398 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179 ,0 ,0 ,199 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,12,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウガンダ,"1,071 ",0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,669 ,0 ,0 ,134 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,189,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
エジプト,"5,288 ",0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,892 ",0 ,1 ,"1,290 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,0 ,0 ,0 ,0 ,2 ,"1,012",   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
エスワティニ,71 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
エチオピア,"1,218 ",0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,930 ,0 ,0 ,91 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107,   0 ,   0 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
エリトリア,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガーナ,"2,024 ",0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,412 ",0 ,0 ,335 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,210,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
カーボベルデ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,18,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ガボン,91 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,0 ,34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメルーン,934 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,685 ,0 ,0 ,168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,54,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ガンビア,161 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79 ,0 ,0 ,47 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,25,   0 ,   0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
